runtime_file,source_file,creator,license,source_url,acquired_at,edited,notes
sfx/ui/sfx_ui_click_v01.wav,procedural_pcm_click,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/ui/sfx_ui_success_v01.wav,procedural_pcm_success,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/progression/sfx_progress_milestone_v01.wav,procedural_pcm_milestone,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/ui/sfx_ui_error_v01.wav,procedural_pcm_error,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/inventory/sfx_inventory_pickup_v01.wav,procedural_pcm_pickup,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis and seeded noise; no samples"
sfx/inventory/sfx_inventory_shelf_place_v01.wav,procedural_pcm_shelf_place,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis and seeded noise; no samples"
sfx/checkout/sfx_checkout_scan_v01.wav,procedural_pcm_checkout_scan,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/checkout/sfx_checkout_payment_complete_v01.wav,procedural_pcm_payment_complete,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/customers/sfx_customer_warning_v01.wav,procedural_pcm_customer_warning,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples or voices"
sfx/customers/sfx_customer_leave_v01.wav,procedural_pcm_customer_leave,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples or voices"
sfx/delivery/sfx_delivery_arrived_v01.wav,procedural_pcm_delivery_arrived,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis and seeded noise; no samples"
sfx/bakery/sfx_bakery_ready_v01.wav,procedural_pcm_bakery_ready,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis; no samples"
sfx/checkout/sfx_checkout_register_open_v01.wav,procedural_pcm_register_open,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis and seeded noise; no samples"
sfx/checkout/sfx_checkout_register_close_v01.wav,procedural_pcm_register_close,PoMarket development team,PoMarket Proprietary,,2026-08-01,no,"Original deterministic additive synthesis and seeded noise; no samples"
ambience/ambience_shop_day_loop_v01.mp3,procedural_pcm_shop_ambience,PoMarket development team,PoMarket Proprietary,,2026-08-01,yes,"Original periodic synthesis; encoded to MP3 with FFmpeg/libmp3lame; no samples or voices"
music/music_market_open_loop_v01.mp3,procedural_pcm_market_open,PoMarket development team,PoMarket Proprietary,,2026-08-01,yes,"Original project melody and additive synthesis; encoded to MP3 with FFmpeg/libmp3lame"
music/music_market_rush_loop_v01.mp3,procedural_pcm_market_rush,PoMarket development team,PoMarket Proprietary,,2026-08-01,yes,"Original project melody and additive synthesis; encoded to MP3 with FFmpeg/libmp3lame"
